study_accession	tax_id	study_alias	submission_accession	library_strategy	run_accession	fastq_ftp	study_title
PRJNA677827	8364	GSE161250	SRA1157613	RNA-Seq	SRR13023993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/093/SRR13023993/SRR13023993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/093/SRR13023993/SRR13023993_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset4]
PRJNA677827	8364	GSE161250	SRA1157613	RNA-Seq	SRR13023997	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13023997/SRR13023997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/097/SRR13023997/SRR13023997_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset4]
PRJDB1878	8364	PRJDB1878	DRA000515	RNA-Seq	DRR001818	ftp.sra.ebi.ac.uk/vol1/fastq/DRR001/DRR001818/DRR001818.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJNA677827	8364	GSE161250	SRA1157613	RNA-Seq	SRR13024001	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR13024001/SRR13024001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/001/SRR13024001/SRR13024001_2.fastq.gz	Genome wide analysis of Suv4-20h1/2 depleted animal caps [dataset4]
PRJDB1932	8364	PRJDB1932	DRA000575	ChIP-Seq	DRR002166	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002166/DRR002166.fastq.gz	Comprehensive indentification and characterization of the binding sites in the Xenopus tropicalis gastrula.
PRJNA607864	8364	GSE145619	SRA1045163	ATAC-seq	SRR13167865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/065/SRR13167865/SRR13167865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/065/SRR13167865/SRR13167865_2.fastq.gz	Combinatorial transcription factor activities on open chromatin induce embryonic heterogeneity in vertebrates
PRJNA607864	8364	GSE145619	SRA1045163	ATAC-seq	SRR13167867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/067/SRR13167867/SRR13167867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/067/SRR13167867/SRR13167867_2.fastq.gz	Combinatorial transcription factor activities on open chromatin induce embryonic heterogeneity in vertebrates
PRJDB2596	8364	PRJDB2596	DRA000576	ChIP-Seq	DRR002167	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002167/DRR002167.fastq.gz	Comprehensive identification and characterization of the binding sites of Gsc in the Xenopus tropicalis gastrula st10.5.
PRJNA607864	8364	GSE145619	SRA1045163	ATAC-seq	SRR13167871	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/071/SRR13167871/SRR13167871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/071/SRR13167871/SRR13167871_2.fastq.gz	Combinatorial transcription factor activities on open chromatin induce embryonic heterogeneity in vertebrates
PRJDB1998	8364	PRJDB1998	DRA000645	RNA-Seq	DRR002624	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002624/DRR002624.fastq.gz	Comprehensive identification of genes expressed in the dorsal region of Xenopus gastrulae
PRJNA607864	8364	GSE145619	SRA1045163	ATAC-seq	SRR13167879	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/079/SRR13167879/SRR13167879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/079/SRR13167879/SRR13167879_2.fastq.gz	Combinatorial transcription factor activities on open chromatin induce embryonic heterogeneity in vertebrates
PRJNA606649	8364	PRJNA606649	SRA1196329	Hi-C	SRR13710820	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/020/SRR13710820/SRR13710820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/020/SRR13710820/SRR13710820_2.fastq.gz	Chromatin architecture dynamics during embryo development in Xenopus tropicalis
PRJDB2397	8364	PRJDB2397	DRA000646	RNA-Seq	DRR002625	ftp.sra.ebi.ac.uk/vol1/fastq/DRR002/DRR002625/DRR002625.fastq.gz	Comprehensive identification of genes expressed in the ventral region of Xenopus gastrula injected with head organizer cocktail
PRJDB2427	8364	PRJDB2427	DRA001094	RNA-Seq	DRR013406	ftp.sra.ebi.ac.uk/vol1/fastq/DRR013/DRR013406/DRR013406.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJNA606649	8364	PRJNA606649	SRA1196348	ChIP-Seq	SRR13711023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/023/SRR13711023/SRR13711023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/023/SRR13711023/SRR13711023_2.fastq.gz	Chromatin architecture dynamics during embryo development in Xenopus tropicalis
PRJDB2423	8364	PRJDB2423	DRA001095	RNA-Seq	DRR013407	ftp.sra.ebi.ac.uk/vol1/fastq/DRR013/DRR013407/DRR013407.fastq.gz	Comprehensive analysis of CRMs with RNA-seq data revealed that Lim1/Otx2-bound CRMs co-localizing with TLE rather than p300 are strongly associated with region/tissue-specific genes.
PRJNA606649	8364	PRJNA606649	SRA1196348	ChIP-Seq	SRR13711024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/024/SRR13711024/SRR13711024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/024/SRR13711024/SRR13711024_2.fastq.gz	Chromatin architecture dynamics during embryo development in Xenopus tropicalis
PRJNA606649	8364	PRJNA606649	SRA1196348	ChIP-Seq	SRR13711026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/026/SRR13711026/SRR13711026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/026/SRR13711026/SRR13711026_2.fastq.gz	Chromatin architecture dynamics during embryo development in Xenopus tropicalis
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032892	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032892/DRR032892.fastq.gz	EXPANDE project
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032895	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032895/DRR032895.fastq.gz	EXPANDE project
PRJNA606649	8364	PRJNA606649	SRA1196348	ChIP-Seq	SRR13711028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/028/SRR13711028/SRR13711028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/028/SRR13711028/SRR13711028_2.fastq.gz	Chromatin architecture dynamics during embryo development in Xenopus tropicalis
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032898	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032898/DRR032898.fastq.gz	EXPANDE project
PRJNA731541	8364	GSE174798	SRA1234967	RNA-Seq	SRR14608197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/097/SRR14608197/SRR14608197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/097/SRR14608197/SRR14608197_2.fastq.gz	RNA-Sequencing of Xenopus tail regeneration using small molecule antagonists of Hif1a or Wnt signaling
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032899	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032899/DRR032899.fastq.gz	EXPANDE project
PRJNA731541	8364	GSE174798	SRA1234967	RNA-Seq	SRR14608203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/003/SRR14608203/SRR14608203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/003/SRR14608203/SRR14608203_2.fastq.gz	RNA-Sequencing of Xenopus tail regeneration using small molecule antagonists of Hif1a or Wnt signaling
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667492	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/092/SRR14667492/SRR14667492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/092/SRR14667492/SRR14667492_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032900	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032900/DRR032900.fastq.gz	EXPANDE project
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032901	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032901/DRR032901.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667493	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/093/SRR14667493/SRR14667493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/093/SRR14667493/SRR14667493_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/094/SRR14667494/SRR14667494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/094/SRR14667494/SRR14667494_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032902	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032902/DRR032902.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/004/SRR14667504/SRR14667504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/004/SRR14667504/SRR14667504_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667506	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/006/SRR14667506/SRR14667506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/006/SRR14667506/SRR14667506_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032903	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032903/DRR032903.fastq.gz	EXPANDE project
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032905	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032905/DRR032905.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667513	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/013/SRR14667513/SRR14667513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/013/SRR14667513/SRR14667513_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032910	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032910/DRR032910.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/017/SRR14667517/SRR14667517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/017/SRR14667517/SRR14667517_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032911	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032911/DRR032911.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/019/SRR14667519/SRR14667519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/019/SRR14667519/SRR14667519_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032912	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032912/DRR032912.fastq.gz	EXPANDE project
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032921	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032921/DRR032921.fastq.gz	EXPANDE project
PRJDB3785	8364	DRP003810	DRA003460	RNA-Seq	DRR032924	ftp.sra.ebi.ac.uk/vol1/fastq/DRR032/DRR032924/DRR032924.fastq.gz	EXPANDE project
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667522	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/022/SRR14667522/SRR14667522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/022/SRR14667522/SRR14667522_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB12462	8364	DRP007802	DRA012882	miRNA-Seq	DRR322332	ftp.sra.ebi.ac.uk/vol1/fastq/DRR322/DRR322332/DRR322332.fastq.gz	SmallRNA-seq analysis of Xenopus germline
PRJNA733163	8364	GSE175662	SRA1237899	ATAC-seq	SRR14667524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/024/SRR14667524/SRR14667524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR146/024/SRR14667524/SRR14667524_2.fastq.gz	Chromatin Accessibility Analysis Reveals Distinct Functions for HDAC and EZH2 Activities in Early Regeneration
PRJDB14079	8364	DRP009325	DRA014635	RNA-Seq	DRR397604	ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397604/DRR397604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397604/DRR397604_2.fastq.gz	Predator-induced phenotypic plasticity during early biological evolution and ROS suppression in the brain of Xenopus tropicalis
PRJNA784575	8364	GSE189808	SRA1336225	RNA-Seq	SRR17066714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/014/SRR17066714/SRR17066714.fastq.gz	Functional genomic and transcriptomic analysis of ptychodera and the origin of vertebrate genomic traits
PRJNA526297	8364	PRJNA526297	SRA1379584	WGS	SRR18189668	ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/068/SRR18189668/SRR18189668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/068/SRR18189668/SRR18189668_2.fastq.gz	Xenopus tropicalis map cross between Nigerian and ICB strains
PRJNA526297	8364	PRJNA526297	SRA1379584	WGS	SRR18189669	ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/069/SRR18189669/SRR18189669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/069/SRR18189669/SRR18189669_2.fastq.gz	Xenopus tropicalis map cross between Nigerian and ICB strains
PRJNA843038	8364	GSE204990	SRA1427929	RNA-Seq	SRR19430226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/026/SRR19430226/SRR19430226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/026/SRR19430226/SRR19430226_2.fastq.gz	Engagement of Foxh1 in chromatin regulation revealed by protein interactome analyses
PRJDB14079	8364	DRP009325	DRA014635	RNA-Seq	DRR397608	ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397608/DRR397608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397608/DRR397608_2.fastq.gz	Predator-induced phenotypic plasticity during early biological evolution and ROS suppression in the brain of Xenopus tropicalis
PRJNA846095	8364	GSE205498	SRA1432189	RNA-Seq	SRR19548801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR19548801/SRR19548801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR19548801/SRR19548801_2.fastq.gz	Transcriptomic evolution across bilaterian tissues
