study_accession	tax_id	study_alias	submission_accession	library_strategy	run_accession	fastq_ftp	study_title
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046066	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046066/DRR046066.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046067	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046067/DRR046067.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
PRJDB4199	8355	DRP003796	DRA003991	RNA-Seq	DRR046068	ftp.sra.ebi.ac.uk/vol1/fastq/DRR046/DRR046068/DRR046068.fastq.gz	Subfunctionalization of Xenopus laevis myod1 genes
PRJDB5211	8355	DRP004506	DRA005172	RNA-Seq	DRR073108	ftp.sra.ebi.ac.uk/vol1/fastq/DRR073/DRR073108/DRR073108.fastq.gz	mRNA sequencing of interleukin-11 knocked down tadpoles in Xenopus tail regeneration
PRJDB5211	8355	DRP004506	DRA005172	RNA-Seq	DRR073110	ftp.sra.ebi.ac.uk/vol1/fastq/DRR073/DRR073110/DRR073110.fastq.gz	mRNA sequencing of interleukin-11 knocked down tadpoles in Xenopus tail regeneration
PRJDB9034	8355	DRP006873	DRA009306	RNA-Seq	DRR199633	ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199633/DRR199633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199633/DRR199633_2.fastq.gz	RNA-seq analysis after spinal cord injury in Xenopus laevis
PRJDB9034	8355	DRP006873	DRA009306	RNA-Seq	DRR199635	ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199635/DRR199635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199635/DRR199635_2.fastq.gz	RNA-seq analysis after spinal cord injury in Xenopus laevis
PRJDB9034	8355	DRP006873	DRA009306	RNA-Seq	DRR199638	ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199638/DRR199638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199638/DRR199638_2.fastq.gz	RNA-seq analysis after spinal cord injury in Xenopus laevis
PRJDB9034	8355	DRP006873	DRA009306	RNA-Seq	DRR199644	ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199644/DRR199644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR199/DRR199644/DRR199644_2.fastq.gz	RNA-seq analysis after spinal cord injury in Xenopus laevis
PRJDB9147	8355	DRP008840	DRA009680	ATAC-seq	DRR212333	ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212333/DRR212333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212333/DRR212333_2.fastq.gz	Genome-wide identification of regeneration enhancer for nephric tubules using ATAC-seq and in vivo enhancer mapping
PRJDB9147	8355	DRP008840	DRA009680	ATAC-seq	DRR212336	ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212336/DRR212336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212336/DRR212336_2.fastq.gz	Genome-wide identification of regeneration enhancer for nephric tubules using ATAC-seq and in vivo enhancer mapping
PRJDB9147	8355	DRP008840	DRA009680	ATAC-seq	DRR212337	ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212337/DRR212337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR212/DRR212337/DRR212337_2.fastq.gz	Genome-wide identification of regeneration enhancer for nephric tubules using ATAC-seq and in vivo enhancer mapping
PRJDB12462	8355	DRP007802	DRA012882	miRNA-Seq	DRR322330	ftp.sra.ebi.ac.uk/vol1/fastq/DRR322/DRR322330/DRR322330.fastq.gz	SmallRNA-seq analysis of Xenopus germline
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326925	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326925/DRR326925.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326926	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326926/DRR326926.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326927	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326927/DRR326927.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326929	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326929/DRR326929.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326930	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326930/DRR326930.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326931	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326931/DRR326931.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326932	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326932/DRR326932.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326935	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326935/DRR326935.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB12540	8355	DRP008144	DRA012988	RNA-Seq	DRR326936	ftp.sra.ebi.ac.uk/vol1/fastq/DRR326/DRR326936/DRR326936.fastq.gz	RNA-seq of regenerating tails of il11ra.L knocked-down tadpoles
PRJDB13565	8355	DRP008765	DRA014091	RNA-Seq	DRR374829	ftp.sra.ebi.ac.uk/vol1/fastq/DRR374/DRR374829/DRR374829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR374/DRR374829/DRR374829_2.fastq.gz	RNA-seq of the side population in the regenerating X. laevis tadpole tails
PRJDB13124	8355	DRP008847	DRA014633	RNA-Seq	DRR397589	ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397589/DRR397589.fastq.gz	Transcriptome analysis and H3K27ac Chip-seq analysis of Xenopus laevis regenerating nephric tubule
PRJDB13124	8355	DRP008847	DRA014633	ChIP-Seq	DRR397592	ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397592/DRR397592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397592/DRR397592_2.fastq.gz	Transcriptome analysis and H3K27ac Chip-seq analysis of Xenopus laevis regenerating nephric tubule
PRJDB13124	8355	DRP008847	DRA014633	ChIP-Seq	DRR397598	ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397598/DRR397598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR397/DRR397598/DRR397598_2.fastq.gz	Transcriptome analysis and H3K27ac Chip-seq analysis of Xenopus laevis regenerating nephric tubule
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/036/ERR10040336/ERR10040336.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/037/ERR10040337/ERR10040337.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/040/ERR10040340/ERR10040340.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040341	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/041/ERR10040341/ERR10040341.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/042/ERR10040342/ERR10040342.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB45623	8355	xenopus_laevis_rna-seq_st	ERA16819203	RNA-Seq	ERR10040345	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/045/ERR10040345/ERR10040345.fastq.gz	pH-dependent regulation of the Xenopus laevis early development by the insulin receptor-related receptor
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197627		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197629		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197630		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197635		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197637		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197641		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197645		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197648		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197649		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197653		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197654		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197659		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197660		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197661		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197668		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197670		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197674		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197675		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197677		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB31552	8355	E-MTAB-7716	ERA1753608	RNA-Seq	ERR3197679		Single cell RNA-seq of tail tissue from regeneration-competent and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173471		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173476		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173485		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173487		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173491		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173495		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173497		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173500		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173502		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173504		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173509		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173513		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173519		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173521		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173523		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173525		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173529		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173530		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173531		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173532		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173534		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB38462	8355	E-MTAB-9104	ERA2632829	RNA-Seq	ERR4173536		Single cell RNA-seq of limb tissue from regeneration-competent, -restricted and -incompetent Xenopus laevis tadpoles
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319804	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319804/ERR4319804.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319804/ERR4319804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319804/ERR4319804_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319807/ERR4319807.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319807/ERR4319807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319807/ERR4319807_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319808	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319808/ERR4319808.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319808/ERR4319808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319808/ERR4319808_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4319809/ERR4319809.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4319809/ERR4319809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/009/ERR4319809/ERR4319809_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4319812/ERR4319812.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4319812/ERR4319812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/002/ERR4319812/ERR4319812_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319814	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319814/ERR4319814.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319814/ERR4319814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/004/ERR4319814/ERR4319814_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319817	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319817/ERR4319817.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319817/ERR4319817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/007/ERR4319817/ERR4319817_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39253	8355	ena-STUDY-NOVO NORDISK FOUNDATION CENTER FOR PROTEIN RESEARCH-06-07-2020-11:43:47:523-1151	ERA2762972	AMPLICON	ERR4319818	ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319818/ERR4319818.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319818/ERR4319818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR431/008/ERR4319818/ERR4319818_2.fastq.gz	Here we identify a critical role of the E3 ubiquitin ligase RFWD3 in promoting DNA synthesis across polymerase-stalling lesions. We show that in the absence of RFWD3, ubiquitin signalling and protein accumulation at damaged chromatin are severely compromised.
PRJEB39362	8355	ena-STUDY-UNIST-14-07-2020-06:08:28:577-1407	ERA2769764	RNA-Seq	ERR4336291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4336291/ERR4336291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4336291/ERR4336291_2.fastq.gz	GPx3 controls posterior development via regulation of cell death during Xenopus embryogenesis
PRJEB39362	8355	ena-STUDY-UNIST-14-07-2020-06:08:28:577-1407	ERA2769764	RNA-Seq	ERR4336293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4336293/ERR4336293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4336293/ERR4336293_2.fastq.gz	GPx3 controls posterior development via regulation of cell death during Xenopus embryogenesis
PRJEB42253	8355	ena-STUDY-Lorraine University-22-12-2020-17:33:42:840-164	ERA3204515	ncRNA-Seq	ERR5032346	ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/006/ERR5032346/ERR5032346.fastq.gz	Systematic mapping of rRNA 2’-O methylation during frog development and involvement of the methyltransferase Fibrillarin in eye and craniofacial development in Xenopus laevis
PRJEB42253	8355	ena-STUDY-Lorraine University-22-12-2020-17:33:42:840-164	ERA3204515	ncRNA-Seq	ERR5032347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/007/ERR5032347/ERR5032347.fastq.gz	Systematic mapping of rRNA 2’-O methylation during frog development and involvement of the methyltransferase Fibrillarin in eye and craniofacial development in Xenopus laevis
PRJEB42253	8355	ena-STUDY-Lorraine University-22-12-2020-17:33:42:840-164	ERA3204515	ncRNA-Seq	ERR5032348	ftp.sra.ebi.ac.uk/vol1/fastq/ERR503/008/ERR5032348/ERR5032348.fastq.gz	Systematic mapping of rRNA 2’-O methylation during frog development and involvement of the methyltransferase Fibrillarin in eye and craniofacial development in Xenopus laevis
