PRJDB3785,DRP003810,34
PRJNA853335,GSE207026,32
PRJNA759592,GSE183193,30
PRJNA600273,GSE143395,30
PRJNA555524,GSE134537,30
PRJNA512511,GSE124563,30
PRJNA209803,PRJNA209803,29
PRJNA296953,GSE73430,28
PRJNA296921,GSE73419,28
PRJNA485703,GSE118454,26
PRJNA674389,GSE160777,24
PRJNA488225,GSE119124,24
PRJNA479857,GSE116678,24
PRJNA474192,GSE115220,24
PRJEB42253,ena-STUDY-Lorraine,24
PRJNA325834,PRJNA325834,23
PRJNA314143,GSE78854,23
PRJNA819062,GSE199254,18
PRJNA298393,GSE73904,18
PRJNA298254,GSE73870,18
PRJNA255038,GSE59309,18
PRJNA545469,GSE131962,16
PRJNA416291,GSE106320,16
PRJNA342823,GSE86649,16
PRJNA317049,PRJNA317049,16
PRJDB4199,DRP003796,16
PRJNA644555,GSE153925,15
PRJNA413987,GSE104848,15
PRJNA309946,GSE77281,15
PRJNA244000,GSE56586,13
PRJNA191571,PRJNA191571,13
PRJNA928475,GSE223829,12
PRJNA700989,GSE166455,12
PRJNA664513,GSE158246,12
PRJNA530566,GSE129234,12
PRJNA528872,GSE128772,12
PRJNA480292,GSE116819,12
PRJNA479858,GSE116667,12
PRJNA421211,PRJNA421211,12
PRJNA326974,GSE83784,12
PRJNA320214,GSE80971,12
PRJNA311315,GSE77724,12
PRJEB45623,xenopus_laevis_rna-seq_st,12
PRJDB9034,DRP006873,12
PRJDB12540,DRP008144,12
PRJNA799304,GSE194146,10
PRJNA698552,GSE165901,10
PRJNA271289,GSE64551,10
PRJNA747290,GSE180269,9
PRJNA727068,PRJNA727068,9
PRJNA725067,PRJNA725067,9
PRJNA701262,GSE166544,9
PRJNA690979,PRJNA690979,9
PRJNA522475,GSE126597,9
PRJNA351216,GSE89271,9
PRJNA230112,GSE52809,9
PRJNA148701,GSE33444,9
PRJEB8711,ena-STUDY-UMR,9
PRJNA890240,GSE215419,8
PRJNA802197,GSE195806,8
PRJNA707043,GSE168370,8
PRJNA687987,GSE163875,8
PRJNA640808,GSE152902,8
PRJNA601731,GSE143795,8
PRJNA559103,GSE135502,8
PRJNA490166,GSE119729,8
PRJNA448780,GSE112718,8
PRJNA252563,GSE58420,8
PRJEB39362,ena-STUDY-UNIST-14-07-2020-06:08:28:577-1407,8
PRJNA549442,PRJNA549442,7
PRJNA303056,GSE75278,7
PRJNA929021,PRJNA929021,6
PRJNA901962,GSE218034,6
PRJNA855359,PRJNA855359,6
PRJNA833148,GSE201834,6
PRJNA742426,GSE179158,6
PRJNA666158,GSE158664,6
PRJNA533805,GSE130079,6
PRJNA499072,PRJNA499072,6
PRJNA483070,GSE117754,6
PRJNA401820,GSE103526,6
PRJNA396491,GSE102047,6
PRJNA308931,GSE76915,6
PRJNA292052,PRJNA292052,6
PRJDB5211,DRP004506,6
PRJDB13124,DRP008847,6
PRJNA482685,PRJNA482685,5
PRJNA341579,GSE86382,5
PRJNA910680,PRJNA910680,4
PRJNA875888,GSE212518,4
PRJNA677954,PRJNA677954,4
PRJNA479418,PRJNA479418,4
PRJNA437084,GSE111454,4
PRJNA309218,GSE76994,4
PRJNA309195,GSE76991,4
PRJNA284242,GSE68972,4
PRJNA218018,GSE50593,4
PRJNA129201,GSE22146,4
PRJNA930492,GSE224304,3
PRJNA391724,GSE100434,3
PRJNA336357,PRJNA336357,3
PRJNA300520,GSE74470,3
PRJNA299159,PRJNA299159,3
PRJNA267016,GSE63228,3
PRJDB2519,PRJDB2519,3
PRJNA714805,PRJNA714805,2
PRJNA689548,GSE164204,2
PRJNA666689,GSE158849,2
PRJNA485371,GSE118382,2
PRJNA445807,GSE112364,2
PRJNA357404,GSE92382,2
PRJNA347637,PRJNA347637,2
PRJNA342827,GSE86883,2
PRJNA325782,PRJNA325782,2
PRJNA271360,PRJNA271360,2
PRJNA196315,GSE45786,2
PRJDB13565,DRP008765,2
PRJDB12462,DRP007802,2
PRJDB12234,DRP008628,2
PRJNA647844,GSE154896,1
PRJNA647395,GSE154766,1
PRJNA560566,PRJNA560566,1
PRJNA510932,GSE124168,1
PRJNA380259,PRJNA380259,1
PRJNA286217,GSE69701,1
PRJNA248781,PRJNA248781,1
PRJNA225926,PRJNA225926,1
PRJDB13081,DRP008767,1
